subject,body,category
Documento con observaciones,"Perdón la hora, revisa esto porfa: el acceso al sistema corporativo sigue limitado para cerrar las tareas del proyecto / la aprobación vence hoy a las cinco y sin eso se detiene todo el proceso / se menciona una capacitación, pero el objetivo es cerrar una entrega de trabajo / También aparece 'plazo cercano' en el asunto original y eso puede confundir el caso.. Fecha mencionada: 15 de agosto. Quedo pendiente de respuesta. Ref. 1032.",trabajo
Proceso en revisión,"Perdón la hora, La consulta fue reagendada y no sé si el copago anterior todavía aplica. El mensaje parece de trabajo porque menciona informe y reunión, pero todo corresponde a los soportes de incapacidad y al resultado médico.. El remitente pide responder por este mismo hilo para evitar cruces de información. La administración del conjunto informó cambio de horario para el mantenimiento del ascensor. Fecha relacionada: 15 de marzo. Contacto: Nicolás. Agradezco la ayuda. Ref. 0548.",salud
Validar soporte adjunto - formulario incompleto,"Buenas tardes, revisa esto porfa: La referencia interna quedó como CASO-291 y fue enviada desde Funza. / necesito saber si debo esperar o hacer una corrección manual / el proveedor adjuntó una factura que parece mensaje comercial / el centro médico pide un soporte que no aparece en el correo anterior. Fecha mencionada: 20 de marzo. Gracias. Ref. 0922.",trabajo
Cambio de horario,"Saludos, También aparece 'formulario incompleto' en el asunto original y eso puede confundir el caso.. La información parece mezclada con otro caso y puede generar confusión. La referencia interna quedó como caso-185 y fue enviada desde chía.. Se parece a una notificación comercial, aunque viene de un contacto conocido. Fecha relacionada: 27 de marzo. Contacto: Paula. Quedo atento. Ref. 3258.",otros
Orden pendiente,"Hola, equipo, También aparece 'estado del proceso' en el asunto original y eso puede confundir el caso.. El especialista cambió la cita y el resultado del laboratorio quedó sin revisión. Incluyeron un cobro parecido a una factura de servicios y por eso genera duda. La información parece mezclada con otro caso y puede generar confusión. Fecha relacionada: 7 de septiembre. Contacto: Andrés. Quedo atento. Ref. 0351.",salud
Solicitud con prioridad,"Perdón la hora, Ofrecen un premio no solicitado si se confirma la cuenta en una página desconocida. El soporte está cargado, aunque el sistema todavía lo muestra como pendiente. Aparece la palabra salud por el plan de bienestar, pero el asunto es laboral. También aparece 'soporte de pago' en el asunto original y eso puede confundir el caso.. Fecha relacionada: 28 de agosto. Contacto: Julián. Me confirmas por favor. Ref. 1017.",trabajo
Proceso en revisión #11,"Perdón la hora, También aparece la palabra urgente en el mensaje, aunque el tema principal es el seguimiento médico. También aparece 'validación de datos' en el asunto original y eso puede confundir el caso.. La autorización de la eps sigue sin aparecer aunque ya entregué la orden y la historia clínica. Hay dos versiones del documento y nadie confirma cuál es la válida. Fecha relacionada: 1 de junio. Contacto: Diego. Gracias. Ref. 0264.",salud
Ajuste de agenda - notificación del sistema,"Buenos días, revisa esto porfa: La referencia interna quedó como SOL-898 y fue enviada desde Facatativá. / la promoción insiste en actualizar información bancaria fuera del portal oficial / Aunque parece una notificación de banco, salud o universidad, el enlace externo pide datos que no deberían solicitar por correo. / el presupuesto fue aprobado parcialmente y toca ajustar la propuesta comercial. Fecha mencionada: 10 de marzo. Quedo atento. Ref. 2506.",spam
Documento con observaciones,Perdón la hora. La administración del conjunto informó cambio de horario para el mantenimiento del ascensor. La persona encargada no contesta y el proceso quedó detenido. Quedo pendiente de respuesta. Ref. 2471.,spam
Información incompleta - certificado pendiente,"Buenas tardes, Se disfraza de factura normal, pero el remitente no coincide. El mensaje pide abrir un enlace externo para validar datos y promete desbloquear un beneficio. La referencia interna quedó como sol-712 y fue enviada desde funza.. La persona encargada no contesta y el proceso quedó detenido. Fecha relacionada: 6 de octubre. Contacto: Valentina. Gracias. Ref. 2756.",spam
